time, lat, long, accuracy.
8:33:02 PM,37.00010004640141,-122.0622164279417,10.000000
8:33:05 PM,36.99994889568169,-122.06218150553005,9.000000
8:33:08 PM,37.000108544961975,-122.06202448311839,8.000000
8:33:11 PM,37.00012389424226,-122.06210056070674,6.000000
8:33:14 PM,37.00003934352254,-122.06195463829508,6.000000
8:33:17 PM,37.00001029280282,-122.06197521588342,5.000000
8:33:20 PM,37.000169942083105,-122.06204019347177,6.000000
8:33:23 PM,37.00002989136338,-122.06194977106011,5.000000
8:33:26 PM,37.000089640643665,-122.06185934864845,5.000000
8:33:29 PM,37.00014938992395,-122.0618910262368,5.000000
8:33:32 PM,37.000142539204234,-122.06172290382514,5.000000
8:33:35 PM,37.000157888484516,-122.06176568141348,5.000000
8:33:38 PM,37.0001621377648,-122.06165305900183,6.000000
8:33:41 PM,37.00027738704508,-122.06180683659016,8.000000
8:33:44 PM,37.00027053632536,-122.06173861417851,10.000000
8:33:47 PM,37.00020818560564,-122.06164819176685,14.000000
8:33:50 PM,37.00033453488592,-122.0615688693552,17.000000
8:33:53 PM,37.00023888416621,-122.06163384694354,12.000000
8:33:56 PM,37.00019873344649,-122.06148792453187,11.000000
8:33:59 PM,37.00026958272677,-122.06157510212022,10.000000
8:34:02 PM,37.00039593200705,-122.06150687970856,11.000000
8:34:05 PM,37.00034468128734,-122.0613498572969,12.000000
8:34:08 PM,37.00037113056762,-122.06130383488525,10.000000
8:34:11 PM,37.0002754798479,-122.0612689124736,10.000000
8:34:14 PM,37.000435129128185,-122.06135609006193,10.000000
8:34:17 PM,37.00040607840847,-122.06135446765028,10.000000
8:34:20 PM,37.00033262768875,-122.06127514523861,11.000000
8:34:23 PM,37.00052557696903,-122.06117362282696,12.000000
8:34:26 PM,37.00038552624932,-122.0612941004153,12.000000
8:34:29 PM,37.000423075529596,-122.06115927800364,13.000000
8:34:32 PM,37.00040512480988,-122.06107995559199,13.000000
8:34:35 PM,37.000475974090165,-122.06102283318033,12.000000
8:34:38 PM,37.000513523370444,-122.06109891076866,11.000000
8:34:41 PM,37.00062877265073,-122.06110838835701,10.000000
8:34:44 PM,37.00055532193101,-122.06101796594535,9.000000
8:34:47 PM,37.00051517121129,-122.0608831435337,8.000000
